account_number,customer_id,account_status,account_type,balance,routing_number,bank_code,cheque_series_start,cheque_series_end
9000010001,CUST-0001,ACTIVE,CHECKING,59231.5,121000358,DEMO001,000100,000149
9000010002,CUST-0002,ACTIVE,CHECKING,60740.49,121000358,DEMO001,000200,000249
9000010003,CUST-0003,BLOCKED,SAVINGS,67456.47,121000358,DEMO001,000300,000349
9000010004,CUST-0004,ACTIVE,CHECKING,70405.08,121000358,DEMO001,000400,000449
9000010005,CUST-0005,CLOSED,SAVINGS,17894.97,121000358,DEMO001,000500,000549
9000010006,CUST-0006,ACTIVE,SAVINGS,55016.81,121000358,DEMO001,000600,000649
9000010007,CUST-0007,ACTIVE,CHECKING,46362.77,121000358,DEMO001,000700,000749
9000010008,CUST-0008,ACTIVE,CHECKING,31178.34,121000358,DEMO001,000800,000849
9000010009,CUST-0009,ACTIVE,CHECKING,31145.49,121000358,DEMO001,000900,000949
9000010010,CUST-0010,BLOCKED,CHECKING,5584.89,121000358,DEMO001,001000,001049
9000010011,CUST-0011,ACTIVE,CHECKING,61815.03,121000358,DEMO001,001100,001149
9000010012,CUST-0012,FROZEN,SAVINGS,1024.14,121000358,DEMO001,001200,001249
9000010013,CUST-0013,ACTIVE,CHECKING,27003.19,121000358,DEMO001,001300,001349
9000010014,CUST-0014,ACTIVE,SAVINGS,23322.68,121000358,DEMO001,001400,001449
9000010015,CUST-0015,ACTIVE,CHECKING,53187.59,121000358,DEMO001,001500,001549
9000010016,CUST-0016,ACTIVE,CHECKING,20677.42,121000358,DEMO001,001600,001649
9000010017,CUST-0017,ACTIVE,CHECKING,58609.8,121000358,DEMO001,001700,001749
9000010018,CUST-0018,ACTIVE,CHECKING,84854.16,121000358,DEMO001,001800,001849
9000010019,CUST-0019,CLOSED,CHECKING,18805.79,121000358,DEMO001,001900,001949
9000010020,CUST-0020,ACTIVE,SAVINGS,73304.45,121000358,DEMO001,002000,002049
9000010021,CUST-0021,ACTIVE,CHECKING,10398.78,121000358,DEMO001,002100,002149
9000010022,CUST-0022,ACTIVE,SAVINGS,34898.57,121000358,DEMO001,002200,002249
9000010023,CUST-0023,ACTIVE,CHECKING,2055.58,121000358,DEMO001,002300,002349
9000010024,CUST-0024,ACTIVE,CHECKING,4733.69,121000358,DEMO001,002400,002449
9000010025,CUST-0025,ACTIVE,CHECKING,33004.18,121000358,DEMO001,002500,002549
9000010026,CUST-0026,ACTIVE,SAVINGS,42707.44,121000358,DEMO001,002600,002649
9000010027,CUST-0027,CLOSED,CHECKING,23817.88,121000358,DEMO001,002700,002749
9000010028,CUST-0028,ACTIVE,SAVINGS,50760.54,121000358,DEMO001,002800,002849
9000010029,CUST-0029,ACTIVE,SAVINGS,80575.89,121000358,DEMO001,002900,002949
9000010030,CUST-0030,ACTIVE,SAVINGS,54731.57,121000358,DEMO001,003000,003049
9000010031,CUST-0031,INACTIVE,CHECKING,35648.18,121000358,DEMO001,003100,003149
9000010032,CUST-0032,ACTIVE,SAVINGS,56957.97,121000358,DEMO001,003200,003249
9000010033,CUST-0033,INACTIVE,CHECKING,38829.79,121000358,DEMO001,003300,003349
9000010034,CUST-0034,BLOCKED,SAVINGS,11265.41,121000358,DEMO001,003400,003449
9000010035,CUST-0035,ACTIVE,SAVINGS,23635.59,121000358,DEMO001,003500,003549
9000010036,CUST-0036,ACTIVE,CHECKING,24954.6,121000358,DEMO001,003600,003649
9000010037,CUST-0036,ACTIVE,SAVINGS,38515.32,121000358,DEMO001,003700,003749
9000010038,CUST-0037,ACTIVE,CHECKING,52771.05,121000358,DEMO001,003800,003849
9000010039,CUST-0037,ACTIVE,CHECKING,69490.03,121000358,DEMO001,003900,003949
9000010040,CUST-0038,ACTIVE,CHECKING,65461.44,121000358,DEMO001,004000,004049
9000010041,CUST-0038,FROZEN,CHECKING,8301.12,121000358,DEMO001,004100,004149
9000010042,CUST-0039,CLOSED,CHECKING,27153.56,121000358,DEMO001,004200,004249
9000010043,CUST-0039,ACTIVE,CHECKING,33607.22,121000358,DEMO001,004300,004349
9000010044,CUST-0040,ACTIVE,CHECKING,41467.0,121000358,DEMO001,004400,004449
9000010045,CUST-0040,ACTIVE,CHECKING,61036.37,121000358,DEMO001,004500,004549
