cheque_id,account_number,cheque_number,payee_name,amount,cheque_date,image_hash,perceptual_hash,processing_status,processed_at
PROC-000001,9000010001,,Ironwood Holdings,13204.09,2026-03-27,,,PAID,2026-03-27
PROC-000002,9000010001,,Ironwood Holdings,13176.02,2026-04-02,,,PAID,2026-04-02
PROC-000003,9000010001,,Willow Systems,8300.64,2026-04-05,,,PAID,2026-04-05
PROC-000004,9000010001,,Willow Systems,9459.62,2026-04-24,,,PAID,2026-04-24
PROC-000005,9000010001,,Ironwood Holdings,11531.63,2026-05-03,,,PAID,2026-05-03
PROC-000006,9000010001,,Ironwood Holdings,11317.36,2026-05-04,,,PAID,2026-05-04
PROC-000007,9000010001,,Willow Systems,8503.5,2026-05-04,,,PAID,2026-05-04
PROC-000008,9000010001,,Ironwood Holdings,10714.26,2026-05-12,,,PAID,2026-05-12
PROC-000009,9000010001,,Willow Systems,9809.46,2026-06-20,,,PAID,2026-06-20
PROC-000010,9000010001,,Ironwood Holdings,9603.62,2026-06-25,,,PAID,2026-06-25
PROC-000011,9000010001,,Fatima Petrov,8975.36,2026-07-05,,,PAID,2026-07-05
PROC-000012,9000010001,,Willow Systems,8780.55,2026-07-13,,,PAID,2026-07-13
PROC-000013,9000010001,,Willow Systems,10552.13,2026-07-22,,,PAID,2026-07-22
PROC-000014,9000010002,,Nora Silva,4876.13,2026-05-04,,,PAID,2026-05-04
PROC-000015,9000010002,,Nora Silva,7325.11,2026-05-18,,,PAID,2026-05-18
PROC-000016,9000010002,,Nora Silva,6904.7,2026-05-18,,,PAID,2026-05-18
PROC-000017,9000010002,,Nora Silva,6988.46,2026-06-01,,,PAID,2026-06-01
PROC-000018,9000010002,,Maple Supplies,5496.54,2026-06-13,,,PAID,2026-06-13
PROC-000019,9000010002,,Maple Supplies,5740.42,2026-06-15,,,PAID,2026-06-15
PROC-000020,9000010002,,Maple Supplies,6408.78,2026-07-02,,,PAID,2026-07-02
PROC-000021,9000010002,,Nora Silva,4834.18,2026-07-06,,,PAID,2026-07-06
PROC-000022,9000010002,,Nora Silva,8011.24,2026-07-10,,,PAID,2026-07-10
PROC-000023,9000010002,,Maple Supplies,7358.5,2026-07-14,,,PAID,2026-07-14
PROC-000024,9000010002,,Nora Silva,7521.34,2026-08-09,,,PAID,2026-08-09
PROC-000025,9000010002,,Maple Supplies,7606.62,2026-08-13,,,PAID,2026-08-13
PROC-000026,9000010002,,Dara Reyes,6552.79,2026-08-16,,,PAID,2026-08-16
PROC-000027,9000010003,,Diego Okafor,14394.84,2026-05-14,,,PAID,2026-05-14
PROC-000028,9000010004,,Foundry Systems,11483.44,2026-04-14,,,PAID,2026-04-14
PROC-000029,9000010004,,Foundry Systems,18127.23,2026-04-26,,,PAID,2026-04-26
PROC-000030,9000010004,,Cedar Imports,13103.12,2026-07-09,,,PAID,2026-07-09
PROC-000031,9000010004,,Dara Reyes,13539.76,2026-07-14,,,PAID,2026-07-14
PROC-000032,9000010004,,Dara Reyes,12976.31,2026-07-18,,,PAID,2026-07-18
PROC-000033,9000010004,,Cedar Imports,16099.08,2026-08-03,,,PAID,2026-08-03
PROC-000034,9000010005,,Foundry Supplies,15740.96,2026-06-08,,,PAID,2026-06-08
PROC-000035,9000010005,,Bluepeak Distributors,16202.93,2026-06-15,,,PAID,2026-06-15
PROC-000036,9000010006,,Willow Holdings,17108.14,2026-03-30,,,PAID,2026-03-30
PROC-000037,9000010006,,Kwame Rossi,10739.04,2026-04-16,,,PAID,2026-04-16
PROC-000038,9000010006,,Kwame Rossi,16516.33,2026-04-18,,,PAID,2026-04-18
PROC-000039,9000010006,,Kwame Rossi,14150.64,2026-04-29,,,PAID,2026-04-29
PROC-000040,9000010006,,Kwame Rossi,13038.02,2026-05-15,,,PAID,2026-05-15
PROC-000041,9000010006,,Fatima Petrov,10907.77,2026-05-18,,,PAID,2026-05-18
PROC-000042,9000010006,,Fatima Petrov,12643.42,2026-07-11,,,PAID,2026-07-11
PROC-000043,9000010006,,Fatima Petrov,11594.25,2026-07-15,,,PAID,2026-07-15
PROC-000044,9000010006,,Kwame Rossi,9907.88,2026-07-16,,,PAID,2026-07-16
PROC-000045,9000010006,,Kwame Rossi,14480.4,2026-07-23,,,PAID,2026-07-23
PROC-000046,9000010006,,Kwame Rossi,10029.99,2026-08-09,,,PAID,2026-08-09
PROC-000047,9000010007,,Kwame Johnson,15522.15,2026-04-17,,,PAID,2026-04-17
PROC-000048,9000010007,,Harbor Services,14148.64,2026-05-16,,,PAID,2026-05-16
PROC-000049,9000010007,,Kwame Johnson,13718.78,2026-06-06,,,PAID,2026-06-06
PROC-000050,9000010007,,Harbor Services,14834.91,2026-06-25,,,PAID,2026-06-25
PROC-000051,9000010007,,Kwame Johnson,11288.25,2026-08-03,,,PAID,2026-08-03
PROC-000052,9000010007,,Harbor Services,11543.36,2026-08-04,,,PAID,2026-08-04
PROC-000053,9000010007,,Maple Supplies,12627.26,2026-08-09,,,PAID,2026-08-09
PROC-000054,9000010008,,Foundry Supplies,10812.93,2026-03-31,,,PAID,2026-03-31
PROC-000055,9000010008,,Foundry Supplies,8945.17,2026-04-21,,,PAID,2026-04-21
PROC-000056,9000010008,,Harbor Services,7745.66,2026-05-11,,,PAID,2026-05-11
PROC-000057,9000010008,,Foundry Supplies,9499.53,2026-06-03,,,PAID,2026-06-03
PROC-000058,9000010008,,Foundry Supplies,12759.25,2026-06-08,,,PAID,2026-06-08
PROC-000059,9000010008,,Foundry Supplies,12919.86,2026-06-19,,,PAID,2026-06-19
PROC-000060,9000010008,,Harbor Services,10192.59,2026-06-20,,,PAID,2026-06-20
PROC-000061,9000010008,,Harbor Services,12635.37,2026-06-27,,,PAID,2026-06-27
PROC-000062,9000010008,,Foundry Supplies,11770.91,2026-07-19,,,PAID,2026-07-19
PROC-000063,9000010008,,Foundry Supplies,10970.83,2026-07-25,,,PAID,2026-07-25
PROC-000064,9000010008,,Foundry Supplies,7847.32,2026-07-29,,,PAID,2026-07-29
PROC-000065,9000010008,,Foundry Supplies,12134.19,2026-08-13,,,PAID,2026-08-13
PROC-000066,9000010009,,Grace Rossi,9881.71,2026-05-30,,,PAID,2026-05-30
PROC-000067,9000010009,,Grace Rossi,8721.78,2026-06-03,,,PAID,2026-06-03
PROC-000068,9000010009,,Grace Rossi,12840.97,2026-06-08,,,PAID,2026-06-08
PROC-000069,9000010009,,Grace Rossi,13581.74,2026-07-25,,,PAID,2026-07-25
PROC-000070,9000010009,,Kwame Silva,11963.92,2026-08-11,,,PAID,2026-08-11
PROC-000071,9000010009,,Dara Reyes,11566.66,2026-08-13,,,PAID,2026-08-13
PROC-000072,9000010010,,Harbor Trading Co,8886.62,2026-06-06,,,PAID,2026-06-06
PROC-000073,9000010010,,Kwame Johnson,7911.19,2026-07-18,,,PAID,2026-07-18
PROC-000074,9000010010,,Harbor Trading Co,12040.07,2026-07-31,,,PAID,2026-07-31
PROC-000075,9000010011,,Bluepeak Distributors,5421.71,2026-04-25,,,PAID,2026-04-25
PROC-000076,9000010011,,Bluepeak Distributors,5595.62,2026-05-06,,,PAID,2026-05-06
PROC-000077,9000010011,,Omar Novak,4343.37,2026-06-06,,,PAID,2026-06-06
PROC-000078,9000010011,,Harbor Services,5303.23,2026-06-26,,,PAID,2026-06-26
PROC-000079,9000010011,,Harbor Services,6232.49,2026-07-26,,,PAID,2026-07-26
PROC-000080,9000010011,,Omar Novak,3862.99,2026-08-18,,,PAID,2026-08-18
PROC-000081,9000010011,,Harbor Services,5084.63,2026-08-19,,,PAID,2026-08-19
PROC-000082,9000010012,,Foundry Supplies,5794.34,2026-04-03,,,PAID,2026-04-03
PROC-000083,9000010012,,Foundry Supplies,3526.33,2026-05-06,,,PAID,2026-05-06
PROC-000084,9000010012,,Foundry Supplies,4808.75,2026-05-30,,,PAID,2026-05-30
PROC-000085,9000010013,,Harbor Services,3755.81,2026-04-05,,,PAID,2026-04-05
PROC-000086,9000010013,,Summit Supplies,4121.55,2026-04-26,,,PAID,2026-04-26
PROC-000087,9000010013,,Summit Supplies,4661.0,2026-05-28,,,PAID,2026-05-28
PROC-000088,9000010013,,Summit Supplies,4598.08,2026-06-07,,,PAID,2026-06-07
PROC-000089,9000010013,,Harbor Services,3237.58,2026-06-12,,,PAID,2026-06-12
PROC-000090,9000010013,,Summit Supplies,3132.26,2026-06-16,,,PAID,2026-06-16
PROC-000091,9000010013,,Summit Supplies,4366.94,2026-07-05,,,PAID,2026-07-05
PROC-000092,9000010013,,Harbor Services,3139.12,2026-07-21,,,PAID,2026-07-21
