signature_id,account_number,signature_file,variant
SIG-9000010001-1,9000010001,reference_signatures/SIG-9000010001-1.png,genuine
SIG-9000010001-2,9000010001,reference_signatures/SIG-9000010001-2.png,genuine_variation
SIG-9000010001-3,9000010001,reference_signatures/SIG-9000010001-3.png,genuine_variation
SIG-9000010002-1,9000010002,reference_signatures/SIG-9000010002-1.png,genuine
SIG-9000010002-2,9000010002,reference_signatures/SIG-9000010002-2.png,genuine_variation
SIG-9000010002-3,9000010002,reference_signatures/SIG-9000010002-3.png,genuine_variation
SIG-9000010003-1,9000010003,reference_signatures/SIG-9000010003-1.png,genuine
SIG-9000010003-2,9000010003,reference_signatures/SIG-9000010003-2.png,genuine_variation
SIG-9000010004-1,9000010004,reference_signatures/SIG-9000010004-1.png,genuine
SIG-9000010004-2,9000010004,reference_signatures/SIG-9000010004-2.png,genuine_variation
SIG-9000010004-3,9000010004,reference_signatures/SIG-9000010004-3.png,genuine_variation
SIG-9000010005-1,9000010005,reference_signatures/SIG-9000010005-1.png,genuine
SIG-9000010005-2,9000010005,reference_signatures/SIG-9000010005-2.png,genuine_variation
SIG-9000010006-1,9000010006,reference_signatures/SIG-9000010006-1.png,genuine
SIG-9000010006-2,9000010006,reference_signatures/SIG-9000010006-2.png,genuine_variation
SIG-9000010006-3,9000010006,reference_signatures/SIG-9000010006-3.png,genuine_variation
SIG-9000010007-1,9000010007,reference_signatures/SIG-9000010007-1.png,genuine
SIG-9000010007-2,9000010007,reference_signatures/SIG-9000010007-2.png,genuine_variation
SIG-9000010008-1,9000010008,reference_signatures/SIG-9000010008-1.png,genuine
SIG-9000010008-2,9000010008,reference_signatures/SIG-9000010008-2.png,genuine_variation
SIG-9000010009-1,9000010009,reference_signatures/SIG-9000010009-1.png,genuine
SIG-9000010009-2,9000010009,reference_signatures/SIG-9000010009-2.png,genuine_variation
SIG-9000010010-1,9000010010,reference_signatures/SIG-9000010010-1.png,genuine
SIG-9000010010-2,9000010010,reference_signatures/SIG-9000010010-2.png,genuine_variation
SIG-9000010010-3,9000010010,reference_signatures/SIG-9000010010-3.png,genuine_variation
SIG-9000010011-1,9000010011,reference_signatures/SIG-9000010011-1.png,genuine
SIG-9000010011-2,9000010011,reference_signatures/SIG-9000010011-2.png,genuine_variation
SIG-9000010012-1,9000010012,reference_signatures/SIG-9000010012-1.png,genuine
SIG-9000010012-2,9000010012,reference_signatures/SIG-9000010012-2.png,genuine_variation
SIG-9000010013-1,9000010013,reference_signatures/SIG-9000010013-1.png,genuine
SIG-9000010013-2,9000010013,reference_signatures/SIG-9000010013-2.png,genuine_variation
SIG-9000010014-1,9000010014,reference_signatures/SIG-9000010014-1.png,genuine
SIG-9000010014-2,9000010014,reference_signatures/SIG-9000010014-2.png,genuine_variation
SIG-9000010014-3,9000010014,reference_signatures/SIG-9000010014-3.png,genuine_variation
SIG-9000010015-1,9000010015,reference_signatures/SIG-9000010015-1.png,genuine
SIG-9000010015-2,9000010015,reference_signatures/SIG-9000010015-2.png,genuine_variation
SIG-9000010015-3,9000010015,reference_signatures/SIG-9000010015-3.png,genuine_variation
SIG-9000010016-1,9000010016,reference_signatures/SIG-9000010016-1.png,genuine
SIG-9000010016-2,9000010016,reference_signatures/SIG-9000010016-2.png,genuine_variation
SIG-9000010017-1,9000010017,reference_signatures/SIG-9000010017-1.png,genuine
SIG-9000010017-2,9000010017,reference_signatures/SIG-9000010017-2.png,genuine_variation
SIG-9000010017-3,9000010017,reference_signatures/SIG-9000010017-3.png,genuine_variation
SIG-9000010018-1,9000010018,reference_signatures/SIG-9000010018-1.png,genuine
SIG-9000010018-2,9000010018,reference_signatures/SIG-9000010018-2.png,genuine_variation
SIG-9000010019-1,9000010019,reference_signatures/SIG-9000010019-1.png,genuine
SIG-9000010019-2,9000010019,reference_signatures/SIG-9000010019-2.png,genuine_variation
SIG-9000010020-1,9000010020,reference_signatures/SIG-9000010020-1.png,genuine
SIG-9000010020-2,9000010020,reference_signatures/SIG-9000010020-2.png,genuine_variation
SIG-9000010021-1,9000010021,reference_signatures/SIG-9000010021-1.png,genuine
SIG-9000010021-2,9000010021,reference_signatures/SIG-9000010021-2.png,genuine_variation
SIG-9000010021-3,9000010021,reference_signatures/SIG-9000010021-3.png,genuine_variation
SIG-9000010022-1,9000010022,reference_signatures/SIG-9000010022-1.png,genuine
SIG-9000010022-2,9000010022,reference_signatures/SIG-9000010022-2.png,genuine_variation
SIG-9000010022-3,9000010022,reference_signatures/SIG-9000010022-3.png,genuine_variation
SIG-9000010023-1,9000010023,reference_signatures/SIG-9000010023-1.png,genuine
SIG-9000010023-2,9000010023,reference_signatures/SIG-9000010023-2.png,genuine_variation
SIG-9000010023-3,9000010023,reference_signatures/SIG-9000010023-3.png,genuine_variation
SIG-9000010024-1,9000010024,reference_signatures/SIG-9000010024-1.png,genuine
SIG-9000010024-2,9000010024,reference_signatures/SIG-9000010024-2.png,genuine_variation
SIG-9000010025-1,9000010025,reference_signatures/SIG-9000010025-1.png,genuine
SIG-9000010025-2,9000010025,reference_signatures/SIG-9000010025-2.png,genuine_variation
SIG-9000010026-1,9000010026,reference_signatures/SIG-9000010026-1.png,genuine
SIG-9000010026-2,9000010026,reference_signatures/SIG-9000010026-2.png,genuine_variation
SIG-9000010027-1,9000010027,reference_signatures/SIG-9000010027-1.png,genuine
SIG-9000010027-2,9000010027,reference_signatures/SIG-9000010027-2.png,genuine_variation
SIG-9000010028-1,9000010028,reference_signatures/SIG-9000010028-1.png,genuine
SIG-9000010028-2,9000010028,reference_signatures/SIG-9000010028-2.png,genuine_variation
SIG-9000010029-1,9000010029,reference_signatures/SIG-9000010029-1.png,genuine
SIG-9000010029-2,9000010029,reference_signatures/SIG-9000010029-2.png,genuine_variation
SIG-9000010029-3,9000010029,reference_signatures/SIG-9000010029-3.png,genuine_variation
SIG-9000010030-1,9000010030,reference_signatures/SIG-9000010030-1.png,genuine
SIG-9000010030-2,9000010030,reference_signatures/SIG-9000010030-2.png,genuine_variation
SIG-9000010031-1,9000010031,reference_signatures/SIG-9000010031-1.png,genuine
SIG-9000010031-2,9000010031,reference_signatures/SIG-9000010031-2.png,genuine_variation
SIG-9000010032-1,9000010032,reference_signatures/SIG-9000010032-1.png,genuine
SIG-9000010032-2,9000010032,reference_signatures/SIG-9000010032-2.png,genuine_variation
SIG-9000010033-1,9000010033,reference_signatures/SIG-9000010033-1.png,genuine
SIG-9000010033-2,9000010033,reference_signatures/SIG-9000010033-2.png,genuine_variation
SIG-9000010034-1,9000010034,reference_signatures/SIG-9000010034-1.png,genuine
SIG-9000010034-2,9000010034,reference_signatures/SIG-9000010034-2.png,genuine_variation
