transaction_id,account_number,transaction_date,transaction_type,amount,payee_name
TXN000012,9000010001,2026-03-27,CHEQUE,13204.09,Ironwood Holdings
TXN000011,9000010001,2026-04-02,CHEQUE,13176.02,Ironwood Holdings
TXN000010,9000010001,2026-04-05,CHEQUE,8300.64,Willow Systems
TXN000009,9000010001,2026-04-24,CHEQUE,9459.62,Willow Systems
TXN000001,9000010001,2026-05-03,CHEQUE,11531.63,Ironwood Holdings
TXN000002,9000010001,2026-05-04,CHEQUE,11317.36,Ironwood Holdings
TXN000005,9000010001,2026-05-04,CHEQUE,8503.5,Willow Systems
TXN000003,9000010001,2026-05-12,CHEQUE,10714.26,Ironwood Holdings
TXN000006,9000010001,2026-06-20,CHEQUE,9809.46,Willow Systems
TXN000008,9000010001,2026-06-25,CHEQUE,9603.62,Ironwood Holdings
TXN000013,9000010001,2026-07-05,CHEQUE,8975.36,Fatima Petrov
TXN000004,9000010001,2026-07-13,CHEQUE,8780.55,Willow Systems
TXN000007,9000010001,2026-07-22,CHEQUE,10552.13,Willow Systems
TXN000020,9000010002,2026-05-04,CHEQUE,4876.13,Nora Silva
TXN000016,9000010002,2026-05-18,CHEQUE,7325.11,Nora Silva
TXN000017,9000010002,2026-05-18,CHEQUE,6904.7,Nora Silva
TXN000015,9000010002,2026-06-01,CHEQUE,6988.46,Nora Silva
TXN000019,9000010002,2026-06-13,CHEQUE,5496.54,Maple Supplies
TXN000024,9000010002,2026-06-15,CHEQUE,5740.42,Maple Supplies
TXN000023,9000010002,2026-07-02,CHEQUE,6408.78,Maple Supplies
TXN000021,9000010002,2026-07-06,CHEQUE,4834.18,Nora Silva
TXN000014,9000010002,2026-07-10,CHEQUE,8011.24,Nora Silva
TXN000025,9000010002,2026-07-14,CHEQUE,7358.5,Maple Supplies
TXN000022,9000010002,2026-08-09,CHEQUE,7521.34,Nora Silva
TXN000018,9000010002,2026-08-13,CHEQUE,7606.62,Maple Supplies
TXN000026,9000010002,2026-08-16,CHEQUE,6552.79,Dara Reyes
TXN000027,9000010003,2026-05-14,CHEQUE,14394.84,Diego Okafor
TXN000031,9000010004,2026-04-14,CHEQUE,11483.44,Foundry Systems
TXN000030,9000010004,2026-04-26,CHEQUE,18127.23,Foundry Systems
TXN000028,9000010004,2026-07-09,CHEQUE,13103.12,Cedar Imports
